branch_id,function_name,category,r2_total,r2_between,r2_within_formula,r2_within_balance,r2_fwl,r2_swingup,r2_reset
102:7054:7069,printf_core:7054→7069,logging/IO,-0.0018858218961919082,3.805058177430709e-07,-0.001886203119720875,-0.0004983149377963958,-0.0004182250806947785,0.002568462473448996,-0.00866666437122876
92:64:84,__fwritex:64→84,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
83:86:96,writev:86→96,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
84:145:298,__stdio_write:145→298,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
84:92:94,__stdio_write:92→94,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
83:31:46,writev:31→46,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
83:69:71,writev:69→71,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
84:107:109,__stdio_write:107→109,logging/IO,-0.00205774490472721,5.201333541648978e-08,-0.0020577970250954536,-0.0004983149377963958,-0.0005943633274718696,-0.004335781673424632,-0.00866666437122876
101:224:226,vfprintf:224→226,logging/IO,-0.0018288337491210171,4.482110749215451e-08,-0.0018288786522009381,-0.0006630095728861196,-0.0005915770566413681,-0.003399611092863797,-0.00235849024924506
37:43:67,pou_general_machine:43→67,tick/main,0.7696737629970062,0.00131547679834354,0.7693703750764085,0.7308848878990986,0.667254340823249,0.02411838821221257,0.07789699887779089
35:69:86,turn_off_with_delay:69→86,timer,0.9228228408355326,0.03845283219523077,0.919736481216346,0.9186550589812319,0.8977595824229624,0.29716084008157995,0.3909610970920461
34:71:73,turn_on_with_delay:71→73,timer,0.8775185937683532,0.03502144929296935,0.8730734417444762,0.8775233044074493,0.8379246382849685,0.46908146506558257,0.31899897563551305
108:456:458,memcpy:456→458,memcpy,0.9377017705878077,0.026449914926322537,0.9360092198980419,0.9721292500641752,0.9292280246384743,0.22191191387451414,0.3604015027793719
37:43:45,pou_general_machine:43→45,tick/main,0.7697115500253744,0.0013231625182134055,0.7694064372662237,0.7308844738282136,0.6672522362615461,0.027571277718242637,0.07789699887779089
35:55:57,turn_off_with_delay:55→57,timer,0.9474567446622804,0.007480831105998731,0.9470607148109085,0.9908285533435622,0.9423276433222569,0.21331691357587523,0.16519595950650512
35:20:46,turn_off_with_delay:20→46,timer,0.9470233399826486,0.006652203718343075,0.9466685684352893,0.9910063394832546,0.9419474685672018,0.2134023725479044,0.16232079548021605
35:51:53,turn_off_with_delay:51→53,timer,0.9470233399826486,0.006652203718343075,0.9466685684352893,0.9910063394832546,0.9419474685672018,0.2134023725479044,0.16232079548021605
22:2283:2285,tick:2283→2285,tick/main,0.8107307152126708,0.1443970632004079,0.7787884114852428,0.7433941610005566,0.7147624365011671,1.0,1.0
34:57:59,turn_on_with_delay:57→59,timer,0.9112138781417438,0.0016159247451282832,0.9110701742357113,0.9101513289401311,0.8870116510759514,0.5911318125480403,0.43878606203817705
108:421:423,memcpy:421→423,memcpy,0.9410857876715409,0.02651453435327722,0.9394811587769109,0.9757527583617324,0.9326732193038781,0.22266112257544923,0.36079650374105443
34:24:26,turn_on_with_delay:24→26,timer,0.8441024360635873,0.08866156511929502,0.828935598489468,0.8110118992678994,0.782201077337325,0.47983152237238735,0.6128210003318136
34:57:102,turn_on_with_delay:57→102,timer,0.9020867416128165,0.09016577920419588,0.892383407714054,0.8729615325523695,0.8421499087483916,0.5150112980563797,0.634281112219024
34:112:114,turn_on_with_delay:112→114,timer,0.9020867416128165,0.09016577920419588,0.892383407714054,0.8729615325523695,0.8421499087483916,0.5150112980563797,0.634281112219024
34:116:118,turn_on_with_delay:116→118,timer,0.9020867416128165,0.09016577920419588,0.892383407714054,0.8729615325523695,0.8421499087483916,0.5150112980563797,0.634281112219024
