# Controller + Math Edge Reference (318 edges)
# Generated from 30 sessions
# * = variable edge (std > 0.01)
# ====================================================================================================

## __rem_pio2 (func_id=72, 20 edges)
    21:616:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:630:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=3/30 | zero=0.0%
    21:644:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:699:812           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:824:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:879:885           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:897:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:1058:1092         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:1104:1234         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## fmax (func_id=64, 2 edges)
  * 64:8:10              | mean=   1.95 | std=  0.21 | CV= 0.11 | range=[1,3] | sessions=29/30 | zero=0.0%
  * 64:17:22             | mean=   1.95 | std=  0.21 | CV= 0.11 | range=[1,3] | sessions=29/30 | zero=0.0%

## fmin (func_id=63, 2 edges)
  * 63:8:10              | mean=   1.94 | std=  0.24 | CV= 0.12 | range=[1,3] | sessions=30/30 | zero=0.0%
  * 63:17:22             | mean=   1.94 | std=  0.24 | CV= 0.12 | range=[1,3] | sessions=30/30 | zero=0.0%

## log (func_id=77, 3 edges)
  * 77:29:31             | mean=   1.14 | std=  0.34 | CV= 0.30 | range=[1,2] | sessions=29/30 | zero=0.0%
  * 77:29:252            | mean=   1.65 | std=  0.48 | CV= 0.29 | range=[1,2] | sessions=29/30 | zero=0.0%
  * 77:275:388           | mean=   1.65 | std=  0.48 | CV= 0.29 | range=[1,2] | sessions=29/30 | zero=0.0%

## log_data (func_id=30, 17 edges)
    30:190:194           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:208:212           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:268:347           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:288:367           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:474:581           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:498:605           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:746:853           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:776:883           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1032:1034         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:1069:1189         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1145:2407         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:1423:1552         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1786:1915         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:2149:2278         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:2512:2641         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:2875:3005         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:3091:3200         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%

## pou_drive_control_word (func_id=42, 9 edges)
    42:75:77             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    42:84:86             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=4/30 | zero=0.0%
    42:84:117            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    42:88:90             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=4/30 | zero=0.0%
    42:93:95             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=4/30 | zero=0.0%
    42:115:140           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=4/30 | zero=0.0%
    42:121:140           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    42:153:155           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    42:164:176           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%

## pou_general_axis (func_id=36, 6 edges)
    36:19:21             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    36:27:29             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    36:43:45             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    36:43:67             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    36:55:57             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    36:55:67             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## pou_general_drive (func_id=38, 8 edges)
    38:78:125            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    38:456:458           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:456:476           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:495:497           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:495:542           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:511:513           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:511:542           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    38:526:542           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## pou_general_machine (func_id=37, 5 edges)
    37:43:45             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    37:43:67             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    37:55:57             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    37:55:67             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    37:78:125            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## pou_lqr_sim (func_id=40, 7 edges)
    40:44:46             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=26/30 | zero=0.0%
    40:44:85             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    40:83:185            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=26/30 | zero=0.0%
